#CPU,CUDA,RMM,TYPE,HUC,DAYS,DIMENSIONS,#Cells(K),DURATION
1,YES,NO,SPINUP,15060202,1,90x109,9.81,30.84
1,YES,NO,SPINUP,140802,236x241,1,58.08,49.42
1,YES,NO,SPINUP,14,871x601,1,523.47,299.56

1,YES,YES,SPINUP,15060202,1,90x109,9.81,31.42
1,YES,YES,SPINUP,140802,236x241,1,58.08,51.87
1,YES,YES,SPINUP,14,871x601,1,523.47,258.31

1,YES,YES,SPINUP,15060202,5,90x109,9.81,125.44
1,YES,YES,SPINUP,140802,236x241,5,58.08,180.2
1,YES,YES,SPINUP,14,871x601,5,523.47,538.76

1,YES,YES,SPINUP,14,871x601,14,751.69
1,YES,YES,SPINUP,14,871x601,14,766.67

1,YES,YES,TRANSIENT,140802,236x241,5,58.08,181.96

